ID,V2017,V2022
48,2931.31, 2931.41
49,2931.32, 2931.42
50,2931.33, 2931.43
51,2931.34,ex2931.49
52,2931.35, 2931.46
53,2931.36, 2931.47
54,2931.37,ex2931.49
55,2931.38, 2931.45
56,2931.39," 2931.44
 2931.48
ex2931.49
 2931.51
 2931.52
 2931.53
 2931.54
 2931.59"
57,2932.99," 2932.96
 2932.99"
58,2933.33,ex2933.33
59,2933.39,"ex2933.33
28933.34
 2933.35
 2933.36
 2933.37
 2933.39"
60,          2934.99,"               2934.92
               2934.99"
61,          2939.49,              ex2939.49
62,          2939.71,"               2939.45
              ex2939.49
               2939.72"
63,          2939.79,"              ex2939.49
               2939.79"
64,          3002.11,              ex3822.11
65,          3002.13,"               3002.13
              ex3822.11
              ex3822.12
              ex3822.19"
66,          3002.14,"               3002.14
              ex3822.11
              ex3822.12
              ex3822.19"
67,          3002.15,"               3002.15
              ex3822.11
              ex3822.12
              ex3822.19"
68,          3002.20,               3002.41
69,          3002.30,               3002.42
70,          3002.90,"               3002.49
               3002.51
               3002.59
               3002.90"
71,          3002.19,"       This subheading was
       considered by the HS
  Committee to be empty and it
       was therefore deleted"
72,"           30.04 
Applicable subheadings","              ex3006.93
Applicable subheadings of 30.04"
73,          3006.20,               3822.13
74,          3204.19,               3204.18
75,, 3204.19
76,3402.11," 3402.31
 3402.39"
77,3402.12, 3402.41
78,3402.13, 3402.42
79,3402.19, 3402.49
80,3402.20, 3402.50
81,3603.00," 3603.10
 3603.20
 3603.30
 3603.40
 3603.50
 3603.60"
82,3808.59,ex3808.59
83,3808.91,"ex3808.59
 3808.91"
84,3808.92,"ex3808.59
 3808.92"
85,3808.93,"ex3808.59
 3808.93"
86,3808.94,"ex3808.59
 3808.94"
87,3808.99,"ex3808.59
 3808.99"
88,3816.00,ex3816.00
89,3822.00,"ex3822.12
ex3822.19
ex3822.90"
90,3824.71, 3827.11
91,3824.72, 3827.20
92,3824.73, 3827.12
93,3824.74," 3827.31
 3827.32
 3827.39"
94,3824.75, 3827.13
95,3824.76, 3827.14
96,3824.77, 3827.40
97,3824.78," 3827.51
 3827.59
 3827.61
 3827.62
 3827.63
 3827.64
 3827.65
 3827.68
 3827.69"
98,3824.79, 3827.90
99,3824.99," 2404.12
ex 2404.19
 2404.92
 2404.99
ex3006.93
 3824.89
 3824.92
 3824.99"
100,3907.20," 3907.21
 3907.29"
101,3911.90," 3911.20
 3911.90"
102,4015.11,ex4015.12
103,4015.19,"ex4015.12
 4015.19"
104,4401.39," 4401.32
 4401.39"
105,4401.40," 4401.41
 4401.49"
106,4402.90," 4402.20
 4402.90"
107,4403.21," 4403.21
ex4403.22"
108,4403.22,ex4403.22
109,4403.23," 4403.23
ex4403.24"
110,4403.24,ex4403.24
111,4403.25," 4403.25
ex4403.26"
112,4403.26,ex4403.26
113,4403.49," 4403.42
 4403.49"
114,4403.93," 4403.93
ex4403.94"
115,4403.94,ex4403.94
116,4403.95," 4403.95
ex4403.96"
117,4403.96,ex4403.96
118,4407.11," 4407.11
ex4407.13"
119,4407.12," 4407.12
ex4407.13
ex4407.14"
120,4407.19,"ex4407.13
ex4407.14
 4407.19"
121,4407.29," 4407.23
 4407.29"
122,4412.94," 4412.51
 4412.52
 4412.59"
123,4412.99," 4412.41
 4412.42
 4412.49
 4412.91"
124,4412.99," 4412.92
 4412.99"
125,4414.00," 4414.10
 4414.90"
126,4418.10," 4418.11
 4418.19"
127,4418.20," 4418.21
 4418.29"
128,4418.60," 4418.30
ex4418.81
ex4418.82
ex4418.83
ex4418.89"
129,4418.91,"ex4418.81
ex4418.82
ex4418.83
ex4418.89
 4418.91"
